SCHOOL_CODE,SCHOOL_NAME,NETWORK
610170,COLUMBIA EXPLORERS,ISP
609833,DAISY BATES,ISP
609833,DAISY BATES,ISP
610521,DAVIS M,ISP
610521,DAVIS M,ISP
609909,EVERETT,ISP
609909,EVERETT,ISP
610503,FRAZIER PROSPECTIVE,ISP
610503,FRAZIER PROSPECTIVE,ISP
609863,GINSBURG,ISP
609863,GINSBURG,ISP
609972,HAUGAN,ISP
609972,HAUGAN,ISP
609996,HOLDEN,ISP
609996,HOLDEN,ISP
610015,JUNGMAN,ISP
610015,JUNGMAN,ISP
609993,LARA,ISP
609993,LARA,ISP
610520,LASALLE II,ISP
610520,LASALLE II,ISP
610291,LEE,ISP
610291,LEE,ISP
609834,LITTLE VILLAGE,ISP
609834,LITTLE VILLAGE,ISP
610312,MCDOWELL,ISP
610312,MCDOWELL,ISP
610073,MITCHELL,ISP
610073,MITCHELL,ISP
610098,NOBEL,ISP
610098,NOBEL,ISP
610111,PALMER,ISP
610111,PALMER,ISP
610120,PECK,ISP
610120,PECK,ISP
610131,PLAMONDON,ISP
610131,PLAMONDON,ISP
610390,RICKOVER MILITARY HS,ISP
610390,RICKOVER MILITARY HS,ISP
610250,SALAZAR,ISP
610250,SALAZAR,ISP
610173,SHERWOOD,ISP
610173,SHERWOOD,ISP
609990,SOUTH LOOP,ISP
609990,SOUTH LOOP,ISP
610548,STEM,ISP
610548,STEM,ISP
610504,THOMAS,ISP
610504,THOMAS,ISP
610201,THORP O,ISP
610201,THORP O,ISP
610596,VIRTUAL ACADEMY ES,ISP
610596,VIRTUAL ACADEMY ES,ISP
610597,VIRTUAL ACADEMY HS,ISP
610597,VIRTUAL ACADEMY HS,ISP
610366,WACKER,ISP
610366,WACKER,ISP
610542,WEST RIDGE,ISP
610542,WEST RIDGE,ISP
610212,ALBANY PARK,Network 1
610212,ALBANY PARK,Network 1
609792,BATEMAN,Network 1
609792,BATEMAN,Network 1
610083,BEARD,Network 1
610083,BEARD,Network 1
609796,BEAUBIEN,Network 1
609796,BEAUBIEN,Network 1
609798,BELDING,Network 1
609798,BELDING,Network 1
609810,BRIDGE,Network 1
609810,BRIDGE,Network 1
609836,CANTY,Network 1
609836,CANTY,Network 1
610599,CATALPA,Network 1
610599,CATALPA,Network 1
610248,CHICAGO ACADEMY ES,Network 1
610248,CHICAGO ACADEMY ES,Network 1
609857,CLEVELAND,Network 1
609857,CLEVELAND,Network 1
609884,DEVER,Network 1
609884,DEVER,Network 1
609874,DIRKSEN,Network 1
609874,DIRKSEN,Network 1
609899,EBINGER,Network 1
609899,EBINGER,Network 1
609901,EDGEBROOK,Network 1
609901,EDGEBROOK,Network 1
609794,EDISON,Network 1
609794,EDISON,Network 1
610523,EDISON PARK,Network 1
610523,EDISON PARK,Network 1
609912,FARNSWORTH,Network 1
609912,FARNSWORTH,Network 1
609937,GARVY,Network 1
609937,GARVY,Network 1
609949,GRAY,Network 1
609949,GRAY,Network 1
609988,HENRY,Network 1
609988,HENRY,Network 1
609994,HIBBARD,Network 1
609994,HIBBARD,Network 1
609995,HITCH,Network 1
609995,HITCH,Network 1
610089,MURPHY,Network 1
610089,MURPHY,Network 1
610354,NORTH RIVER,Network 1
610354,NORTH RIVER,Network 1
610099,NORWOOD PARK,Network 1
610099,NORWOOD PARK,Network 1
610104,ONAHAN,Network 1
610104,ONAHAN,Network 1
610105,ORIOLE PARK,Network 1
610105,ORIOLE PARK,Network 1
610127,PETERSON,Network 1
610127,PETERSON,Network 1
610135,PORTAGE PARK,Network 1
610135,PORTAGE PARK,Network 1
610137,PRUSSING,Network 1
610137,PRUSSING,Network 1
610145,REINBERG,Network 1
610145,REINBERG,Network 1
610155,SAUGANASH,Network 1
610155,SAUGANASH,Network 1
610159,SCAMMON,Network 1
610159,SCAMMON,Network 1
610179,SMYSER,Network 1
610179,SMYSER,Network 1
610182,SOLOMON,Network 1
610182,SOLOMON,Network 1
610163,STOCK,Network 1
610163,STOCK,Network 1
610209,VOLTA,Network 1
610209,VOLTA,Network 1
610230,WILDWOOD,Network 1
610230,WILDWOOD,Network 1
610287,ASHBURN,Network 10
610287,ASHBURN,Network 10
610544,AZUELA,Network 10
610544,AZUELA,Network 10
609788,BARNARD,Network 10
609788,BARNARD,Network 10
610087,BLAIR,Network 10
610087,BLAIR,Network 10
609832,BYRNE,Network 10
609832,BYRNE,Network 10
609839,CARROLL,Network 10
609839,CARROLL,Network 10
610347,CLAREMONT,Network 10
610347,CLAREMONT,Network 10
609861,CLISSOLD,Network 10
609861,CLISSOLD,Network 10
609879,DAWES,Network 10
609879,DAWES,Network 10
609893,DORE,Network 10
609893,DORE,Network 10
610352,DURKIN PARK,Network 10
610352,DURKIN PARK,Network 10
609898,EBERHART,Network 10
609898,EBERHART,Network 10
609908,ESMOND,Network 10
609908,ESMOND,Network 10
610057,FAIRFIELD,Network 10
610057,FAIRFIELD,Network 10
609956,GRIMES,Network 10
609956,GRIMES,Network 10
609960,HALE,Network 10
609960,HALE,Network 10
609807,HAMPTON,Network 10
609807,HAMPTON,Network 10
609981,HEARST,Network 10
609981,HEARST,Network 10
610006,HURLEY,Network 10
610006,HURLEY,Network 10
610084,KELLER,Network 10
610084,KELLER,Network 10
610016,KELLOGG,Network 10
610016,KELLOGG,Network 10
610026,KINZIE,Network 10
610026,KINZIE,Network 10
610053,MARQUETTE,Network 10
610053,MARQUETTE,Network 10
610067,MCKAY,Network 10
610067,MCKAY,Network 10
610077,MORRILL,Network 10
610077,MORRILL,Network 10
610082,MOUNT GREENWOOD,Network 10
610082,MOUNT GREENWOOD,Network 10
610109,OWEN,Network 10
610109,OWEN,Network 10
610588,RICHARDSON,Network 10
610588,RICHARDSON,Network 10
610185,STEVENSON,Network 10
610185,STEVENSON,Network 10
610195,SUTHERLAND,Network 10
610195,SUTHERLAND,Network 10
610396,TARKINGTON,Network 10
610396,TARKINGTON,Network 10
610206,TWAIN,Network 10
610206,TWAIN,Network 10
610207,VANDERPOEL,Network 10
610207,VANDERPOEL,Network 10
609871,VICK,Network 10
609871,VICK,Network 10
609790,BARTON,Network 11
609790,BARTON,Network 11
609791,BASS,Network 11
609791,BASS,Network 11
610238,BOND,Network 11
610238,BOND,Network 11
609864,COOK,Network 11
609864,COOK,Network 11
610003,CUFFE,Network 11
610003,CUFFE,Network 11
609897,EARLE,Network 11
609897,EARLE,Network 11
610362,EVERS,Network 11
610362,EVERS,Network 11
609924,FORT DEARBORN,Network 11
609924,FORT DEARBORN,Network 11
609927,FOSTER PARK,Network 11
609927,FOSTER PARK,Network 11
610032,GREEN,Network 11
610032,GREEN,Network 11
609955,GRESHAM,Network 11
609955,GRESHAM,Network 11
609971,HARVARD,Network 11
609971,HARVARD,Network 11
610369,JACKSON M,Network 11
610369,JACKSON M,Network 11
609805,JOPLIN,Network 11
609805,JOPLIN,Network 11
610019,KERSHAW,Network 11
610019,KERSHAW,Network 11
610299,KING ES,Network 11
610299,KING ES,Network 11
610027,KIPLING,Network 11
610027,KIPLING,Network 11
609869,LANGFORD,Network 11
609869,LANGFORD,Network 11
610298,LENART,Network 11
610298,LENART,Network 11
610290,MAYS,Network 11
610290,MAYS,Network 11
609793,NICHOLSON,Network 11
609793,NICHOLSON,Network 11
610102,OGLESBY,Network 11
610102,OGLESBY,Network 11
610108,OTOOLE,Network 11
610108,OTOOLE,Network 11
610112,PARKER,Network 11
610112,PARKER,Network 11
609941,RANDOLPH,Network 11
609941,RANDOLPH,Network 11
610153,RYDER,Network 11
610153,RYDER,Network 11
610339,STAGG,Network 11
610339,STAGG,Network 11
609895,TURNER-DREW,Network 11
609895,TURNER-DREW,Network 11
610223,WENTWORTH,Network 11
610223,WENTWORTH,Network 11
610300,WESTCOTT,Network 11
610300,WESTCOTT,Network 11
610268,ASHE,Network 12
610268,ASHE,Network 12
609786,AVALON PARK,Network 12
609786,AVALON PARK,Network 12
610350,BLACK,Network 12
610350,BLACK,Network 12
609815,BOUCHET,Network 12
609815,BOUCHET,Network 12
609806,BRADWELL,Network 12
609806,BRADWELL,Network 12
609813,BROWNELL,Network 12
609813,BROWNELL,Network 12
609827,BURNSIDE,Network 12
609827,BURNSIDE,Network 12
609862,COLES,Network 12
609862,COLES,Network 12
609883,DENEEN,Network 12
609883,DENEEN,Network 12
609887,DIXON,Network 12
609887,DIXON,Network 12
610316,EARHART,Network 12
610316,EARHART,Network 12
609939,GILLESPIE,Network 12
609939,GILLESPIE,Network 12
610002,HOYNE,Network 12
610002,HOYNE,Network 12
610047,MADISON,Network 12
610047,MADISON,Network 12
610052,MANN,Network 12
610052,MANN,Network 12
610066,MCDADE,Network 12
610066,MCDADE,Network 12
610171,MIRELES,Network 12
610171,MIRELES,Network 12
610093,NEIL,Network 12
610093,NEIL,Network 12
610193,NEW SULLIVAN,Network 12
610193,NEW SULLIVAN,Network 12
609961,NINOS HEROES,Network 12
609961,NINOS HEROES,Network 12
610103,OKEEFFE,Network 12
610103,OKEEFFE,Network 12
610115,PARK MANOR,Network 12
610115,PARK MANOR,Network 12
610116,PARKSIDE,Network 12
610116,PARKSIDE,Network 12
610130,PIRIE,Network 12
610130,PIRIE,Network 12
610281,POWELL,Network 12
610281,POWELL,Network 12
610146,REVERE,Network 12
610146,REVERE,Network 12
610152,RUGGLES,Network 12
610152,RUGGLES,Network 12
610178,SCHMID,Network 12
610178,SCHMID,Network 12
610530,SOUTH SHORE ES,Network 12
610530,SOUTH SHORE ES,Network 12
610279,TANNER,Network 12
610279,TANNER,Network 12
610200,THORP J,Network 12
610200,THORP J,Network 12
610218,WARREN,Network 12
610218,WARREN,Network 12
610124,WASHINGTON H ES,Network 12
610124,WASHINGTON H ES,Network 12
609772,ADDAMS,Network 13
609772,ADDAMS,Network 13
609848,ALDRIDGE,Network 13
609848,ALDRIDGE,Network 13
609800,BENNETT,Network 13
609800,BENNETT,Network 13
609811,BRIGHT,Network 13
609811,BRIGHT,Network 13
610091,BROWN R,Network 13
610091,BROWN R,Network 13
609821,BURNHAM,Network 13
609821,BURNHAM,Network 13
609845,CARVER G,Network 13
609845,CARVER G,Network 13
609856,CLAY,Network 13
609856,CLAY,Network 13
610199,COLEMON,Network 13
610199,COLEMON,Network 13
610004,CULLEN,Network 13
610004,CULLEN,Network 13
609900,CURTIS,Network 13
609900,CURTIS,Network 13
610364,DUBOIS,Network 13
610364,DUBOIS,Network 13
610188,DUNNE,Network 13
610188,DUNNE,Network 13
609917,FERNWOOD,Network 13
609917,FERNWOOD,Network 13
609935,GALLISTEL,Network 13
609935,GALLISTEL,Network 13
610128,GARVEY,Network 13
610128,GARVEY,Network 13
609944,GRISSOM,Network 13
609944,GRISSOM,Network 13
609808,HALEY,Network 13
609808,HALEY,Network 13
610295,HIGGINS,Network 13
610295,HIGGINS,Network 13
610368,HUGHES L,Network 13
610368,HUGHES L,Network 13
610208,LAVIZZO,Network 13
610208,LAVIZZO,Network 13
610054,MARSH,Network 13
610054,MARSH,Network 13
609902,METCALFE,Network 13
609902,METCALFE,Network 13
610086,MOUNT VERNON,Network 13
610086,MOUNT VERNON,Network 13
609943,OWENS,Network 13
609943,OWENS,Network 13
610132,POE,Network 13
610132,POE,Network 13
610139,PULLMAN,Network 13
610139,PULLMAN,Network 13
610586,SADLOWSKI,Network 13
610586,SADLOWSKI,Network 13
610176,SHOOP,Network 13
610176,SHOOP,Network 13
609978,SMITH,Network 13
609978,SMITH,Network 13
610198,TAYLOR,Network 13
610198,TAYLOR,Network 13
610219,WASHINGTON G ES,Network 13
610219,WASHINGTON G ES,Network 13
610225,WHISTLER,Network 13
610225,WHISTLER,Network 13
610315,WHITE,Network 13
610315,WHITE,Network 13
609695,AMUNDSEN HS,Network 14
609695,AMUNDSEN HS,Network 14
610340,CHICAGO ACADEMY HS,Network 14
610340,CHICAGO ACADEMY HS,Network 14
610402,DEVRY HS,Network 14
610402,DEVRY HS,Network 14
610515,DISNEY II ES,Network 14
610515,DISNEY II ES,Network 14
610564,DISNEY II HS,Network 14
610564,DISNEY II HS,Network 14
609708,FOREMAN HS,Network 14
609708,FOREMAN HS,Network 14
609769,GRAHAM HS,Network 14
609769,GRAHAM HS,Network 14
609716,KELVYN PARK HS,Network 14
609716,KELVYN PARK HS,Network 14
609719,LAKE VIEW HS,Network 14
609719,LAKE VIEW HS,Network 14
609720,LANE TECH HS,Network 14
609720,LANE TECH HS,Network 14
609738,LINCOLN PARK HS,Network 14
609738,LINCOLN PARK HS,Network 14
609780,MARINE LEADERSHIP AT AMES HS,Network 14
609780,MARINE LEADERSHIP AT AMES HS,Network 14
609724,MATHER HS,Network 14
609724,MATHER HS,Network 14
609744,NORTHSIDE LEARNING HS,Network 14
609744,NORTHSIDE LEARNING HS,Network 14
609749,NORTHSIDE PREP HS,Network 14
609749,NORTHSIDE PREP HS,Network 14
609728,ROOSEVELT HS,Network 14
609728,ROOSEVELT HS,Network 14
609729,SCHURZ HS,Network 14
609729,SCHURZ HS,Network 14
609730,SENN HS,Network 14
609730,SENN HS,Network 14
609732,STEINMETZ HS,Network 14
609732,STEINMETZ HS,Network 14
609733,SULLIVAN HS,Network 14
609733,SULLIVAN HS,Network 14
609734,TAFT HS,Network 14
609734,TAFT HS,Network 14
610394,UPLIFT HS,Network 14
610394,UPLIFT HS,Network 14
609766,VAUGHN HS,Network 14
609766,VAUGHN HS,Network 14
609737,VON STEUBEN HS,Network 14
609737,VON STEUBEN HS,Network 14
610524,ALCOTT HS,Network 15
610524,ALCOTT HS,Network 15
610518,AUSTIN CCA HS,Network 15
610518,AUSTIN CCA HS,Network 15
609759,CLEMENTE HS,Network 15
609759,CLEMENTE HS,Network 15
610499,COLLINS STEAM HS,Network 15
610499,COLLINS STEAM HS,Network 15
610561,CRANE MEDICAL HS,Network 15
610561,CRANE MEDICAL HS,Network 15
609756,CURIE HS,Network 15
609756,CURIE HS,Network 15
610245,DOUGLASS HS,Network 15
610245,DOUGLASS HS,Network 15
609694,HANCOCK HS,Network 15
609694,HANCOCK HS,Network 15
610384,INFINITY HS,Network 15
610384,INFINITY HS,Network 15
609678,JONES HS,Network 15
609678,JONES HS,Network 15
609764,JUAREZ HS,Network 15
609764,JUAREZ HS,Network 15
609722,MANLEY HS,Network 15
609722,MANLEY HS,Network 15
609723,MARSHALL HS,Network 15
609723,MARSHALL HS,Network 15
610385,MULTICULTURAL ARTS HS,Network 15
610385,MULTICULTURAL ARTS HS,Network 15
609691,NORTH-GRAND HS,Network 15
609691,NORTH-GRAND HS,Network 15
610101,OGDEN ES,Network 15
610101,OGDEN ES,Network 15
610529,OGDEN HS,Network 15
610529,OGDEN HS,Network 15
610389,ORR HS,Network 15
610389,ORR HS,Network 15
609680,PAYTON HS,Network 15
609680,PAYTON HS,Network 15
610304,PHOENIX MILITARY HS,Network 15
610304,PHOENIX MILITARY HS,Network 15
609679,PROSSER HS,Network 15
609679,PROSSER HS,Network 15
610334,RABY HS,Network 15
610334,RABY HS,Network 15
610383,SOCIAL JUSTICE HS,Network 15
610383,SOCIAL JUSTICE HS,Network 15
610543,SOLORIO HS,Network 15
610543,SOLORIO HS,Network 15
609740,WELLS HS,Network 15
609740,WELLS HS,Network 15
609693,WESTINGHOUSE HS,Network 15
609693,WESTINGHOUSE HS,Network 15
610392,WORLD LANGUAGE HS,Network 15
610392,WORLD LANGUAGE HS,Network 15
609755,YOUNG HS,Network 15
609755,YOUNG HS,Network 15
610513,AIR FORCE HS,Network 16
610513,AIR FORCE HS,Network 16
610563,BACK OF THE YARDS HS,Network 16
610563,BACK OF THE YARDS HS,Network 16
609698,BOGAN HS,Network 16
609698,BOGAN HS,Network 16
610592,ENGLEWOOD STEM HS,Network 16
610592,ENGLEWOOD STEM HS,Network 16
609704,FARRAGUT HS,Network 16
609704,FARRAGUT HS,Network 16
609709,GAGE PARK HS,Network 16
609709,GAGE PARK HS,Network 16
610558,GOODE HS,Network 16
610558,GOODE HS,Network 16
609741,HUBBARD HS,Network 16
609741,HUBBARD HS,Network 16
609762,JULIAN HS,Network 16
609762,JULIAN HS,Network 16
609715,KELLY HS,Network 16
609715,KELLY HS,Network 16
609718,KENNEDY HS,Network 16
609718,KENNEDY HS,Network 16
610391,LINDBLOM HS,Network 16
610391,LINDBLOM HS,Network 16
609725,MORGAN PARK HS,Network 16
609725,MORGAN PARK HS,Network 16
609682,RICHARDS HS,Network 16
609682,RICHARDS HS,Network 16
609745,SOUTHSIDE HS,Network 16
609745,SOUTHSIDE HS,Network 16
610184,SPRY ES,Network 16
610184,SPRY ES,Network 16
610357,SPRY HS,Network 16
610357,SPRY HS,Network 16
609735,TILDEN HS,Network 16
609735,TILDEN HS,Network 16
610323,BOWEN HS,Network 17
610323,BOWEN HS,Network 17
610381,BRONZEVILLE HS,Network 17
610381,BRONZEVILLE HS,Network 17
609760,CARVER MILITARY HS,Network 17
609760,CARVER MILITARY HS,Network 17
609754,CHICAGO MILITARY HS,Network 17
609754,CHICAGO MILITARY HS,Network 17
609674,CHICAGO VOCATIONAL HS,Network 17
609674,CHICAGO VOCATIONAL HS,Network 17
609761,CORLISS HS,Network 17
609761,CORLISS HS,Network 17
609676,DUNBAR HS,Network 17
609676,DUNBAR HS,Network 17
610587,DYETT ARTS HS,Network 17
610587,DYETT ARTS HS,Network 17
609705,FENGER HS,Network 17
609705,FENGER HS,Network 17
609710,HARLAN HS,Network 17
609710,HARLAN HS,Network 17
609712,HIRSCH HS,Network 17
609712,HIRSCH HS,Network 17
609713,HYDE PARK HS,Network 17
609713,HYDE PARK HS,Network 17
609746,KENWOOD HS,Network 17
609746,KENWOOD HS,Network 17
609751,KING HS,Network 17
609751,KING HS,Network 17
609727,PHILLIPS HS,Network 17
609727,PHILLIPS HS,Network 17
609692,SIMEON HS,Network 17
609692,SIMEON HS,Network 17
610547,SOUTH SHORE INTL HS,Network 17
610547,SOUTH SHORE INTL HS,Network 17
609739,WASHINGTON HS,Network 17
609739,WASHINGTON HS,Network 17
610380,WILLIAMS HS,Network 17
610380,WILLIAMS HS,Network 17
610242,BRENNEMANN,Network 2
610242,BRENNEMANN,Network 2
609852,CHAPPELL,Network 2
609852,CHAPPELL,Network 2
609866,COONLEY,Network 2
609866,COONLEY,Network 2
610355,COURTENAY,Network 2
610355,COURTENAY,Network 2
609880,DECATUR,Network 2
609880,DECATUR,Network 2
610363,DISNEY,Network 2
610363,DISNEY,Network 2
609918,FIELD,Network 2
609918,FIELD,Network 2
609933,GALE,Network 2
609933,GALE,Network 2
609945,GOUDY,Network 2
609945,GOUDY,Network 2
609976,HAYT,Network 2
609976,HAYT,Network 2
610011,JAMIESON,Network 2
610011,JAMIESON,Network 2
609865,JORDAN,Network 2
609865,JORDAN,Network 2
610022,KILMER,Network 2
610022,KILMER,Network 2
610269,MCCUTCHEON,Network 2
610269,MCCUTCHEON,Network 2
610070,MCPHERSON,Network 2
610070,MCPHERSON,Network 2
609804,MOSAIC,Network 2
609804,MOSAIC,Network 2
610284,NEW FIELD,Network 2
610284,NEW FIELD,Network 2
610122,PEIRCE,Network 2
610122,PEIRCE,Network 2
610141,RAVENSWOOD,Network 2
610141,RAVENSWOOD,Network 2
610147,ROGERS,Network 2
610147,ROGERS,Network 2
610191,STONE,Network 2
610191,STONE,Network 2
610196,SWIFT,Network 2
610196,SWIFT,Network 2
610220,WATERS,Network 2
610220,WATERS,Network 2
609922,BELMONT-CRAGIN,Network 3
609922,BELMONT-CRAGIN,Network 3
609830,BRUNSON,Network 3
609830,BRUNSON,Network 3
609818,BURBANK,Network 3
609818,BURBANK,Network 3
610367,DEPRIEST,Network 3
610367,DEPRIEST,Network 3
609904,ELLINGTON,Network 3
609904,ELLINGTON,Network 3
609910,FALCONER,Network 3
609910,FALCONER,Network 3
610068,HANSON PARK,Network 3
610068,HANSON PARK,Network 3
609975,HAY,Network 3
609975,HAY,Network 3
610000,HOWE,Network 3
610000,HOWE,Network 3
610305,LELAND,Network 3
610305,LELAND,Network 3
610036,LEWIS,Network 3
610036,LEWIS,Network 3
610040,LLOYD,Network 3
610040,LLOYD,Network 3
610041,LOCKE J,Network 3
610041,LOCKE J,Network 3
610043,LOVETT,Network 3
610043,LOVETT,Network 3
610046,LYON,Network 3
610046,LYON,Network 3
610282,MCNAIR,Network 3
610282,MCNAIR,Network 3
610092,NASH,Network 3
610092,NASH,Network 3
610051,NORTHWEST,Network 3
610051,NORTHWEST,Network 3
610533,PRIETO,Network 3
610533,PRIETO,Network 3
610158,SAYRE,Network 3
610158,SAYRE,Network 3
610165,SCHUBERT,Network 3
610165,SCHUBERT,Network 3
610183,SPENCER,Network 3
610183,SPENCER,Network 3
610235,YOUNG ES,Network 3
610235,YOUNG ES,Network 3
609774,ALCOTT ES,Network 4
609774,ALCOTT ES,Network 4
609782,AUDUBON,Network 4
609782,AUDUBON,Network 4
610325,AVONDALE-LOGANDALE,Network 4
610325,AVONDALE-LOGANDALE,Network 4
609789,BARRY,Network 4
609789,BARRY,Network 4
609799,BELL,Network 4
609799,BELL,Network 4
609803,BLAINE,Network 4
609803,BLAINE,Network 4
609809,BRENTANO,Network 4
609809,BRENTANO,Network 4
609820,BURLEY,Network 4
609820,BURLEY,Network 4
609853,CHASE,Network 4
609853,CHASE,Network 4
609875,DARWIN,Network 4
609875,DARWIN,Network 4
610595,FISHER,Network 4
610595,FISHER,Network 4
609926,FRANKLIN,Network 4
609926,FRANKLIN,Network 4
609930,FUNSTON,Network 4
609930,FUNSTON,Network 4
609942,GOETHE,Network 4
609942,GOETHE,Network 4
609850,GREELEY,Network 4
609850,GREELEY,Network 4
609963,HAMILTON,Network 4
609963,HAMILTON,Network 4
609974,HAWTHORNE,Network 4
609974,HAWTHORNE,Network 4
610078,INTER-AMERICAN,Network 4
610078,INTER-AMERICAN,Network 4
610010,JAHN,Network 4
610010,JAHN,Network 4
610033,LASALLE,Network 4
610033,LASALLE,Network 4
610038,LINCOLN,Network 4
610038,LINCOLN,Network 4
610074,LOGAN SQUARE,Network 4
610074,LOGAN SQUARE,Network 4
610541,LORCA,Network 4
610541,LORCA,Network 4
610048,MANIERRE,Network 4
610048,MANIERRE,Network 4
610059,MAYER,Network 4
610059,MAYER,Network 4
609968,MCAULIFFE,Network 4
609968,MCAULIFFE,Network 4
610088,MOZART,Network 4
610088,MOZART,Network 4
610094,NETTELHORST,Network 4
610094,NETTELHORST,Network 4
610095,NEWBERRY,Network 4
610095,NEWBERRY,Network 4
610097,NIXON,Network 4
610097,NIXON,Network 4
610136,PRESCOTT,Network 4
610136,PRESCOTT,Network 4
610144,REILLY,Network 4
610144,REILLY,Network 4
610534,SKINNER NORTH,Network 4
610534,SKINNER NORTH,Network 4
609773,TUBMAN,Network 4
609773,TUBMAN,Network 4
610039,VON LINNE,Network 4
610039,VON LINNE,Network 4
609797,BEIDLER,Network 5
609797,BEIDLER,Network 5
609835,CAMERON,Network 5
609835,CAMERON,Network 5
610021,CASALS,Network 5
610021,CASALS,Network 5
610251,CATHER,Network 5
610251,CATHER,Network 5
609851,CHALMERS,Network 5
609851,CHALMERS,Network 5
609854,CHOPIN,Network 5
609854,CHOPIN,Network 5
609873,CROWN,Network 5
609873,CROWN,Network 5
610313,DE DIEGO,Network 5
610313,DE DIEGO,Network 5
609907,ERICSON,Network 5
609907,ERICSON,Network 5
610055,FARADAY,Network 5
610055,FARADAY,Network 5
609954,GREGORY,Network 5
609954,GREGORY,Network 5
609985,HEFFERAN,Network 5
609985,HEFFERAN,Network 5
610271,JENSEN,Network 5
610271,JENSEN,Network 5
610274,JOHNSON,Network 5
610274,JOHNSON,Network 5
609925,KELLMAN,Network 5
609925,KELLMAN,Network 5
610034,LAWNDALE,Network 5
610034,LAWNDALE,Network 5
610044,LOWELL,Network 5
610044,LOWELL,Network 5
610293,MELODY,Network 5
610293,MELODY,Network 5
610076,MOOS,Network 5
610076,MOOS,Network 5
610257,MORTON,Network 5
610257,MORTON,Network 5
610106,PICCOLO,Network 5
610106,PICCOLO,Network 5
610192,STOWE,Network 5
610192,STOWE,Network 5
610194,SUMNER,Network 5
610194,SUMNER,Network 5
610202,TILTON,Network 5
610202,TILTON,Network 5
610133,WARD L,Network 5
610133,WARD L,Network 5
610221,WEBSTER,Network 5
610221,WEBSTER,Network 5
610100,WEST PARK,Network 5
610100,WEST PARK,Network 5
610234,YATES,Network 5
610234,YATES,Network 5
609777,ARMOUR,Network 6
609777,ARMOUR,Network 6
609812,BROWN W,Network 6
609812,BROWN W,Network 6
609828,BURR,Network 6
609828,BURR,Network 6
610060,CHICAGO WORLD LANGUAGE ACADEMY,Network 6
610060,CHICAGO WORLD LANGUAGE ACADEMY,Network 6
610252,DETT,Network 6
610252,DETT,Network 6
609896,DRUMMOND,Network 6
609896,DRUMMOND,Network 6
610009,GALILEO,Network 6
610009,GALILEO,Network 6
609947,GRAHAM ES,Network 6
609947,GRAHAM ES,Network 6
609959,HAINES,Network 6
609959,HAINES,Network 6
609979,HEALY,Network 6
609979,HEALY,Network 6
610121,IRVING,Network 6
610121,IRVING,Network 6
610029,LOZANO,Network 6
610029,LOZANO,Network 6
610062,MIÑOSO,Network 6
610062,MIÑOSO,Network 6
610231,NATIONAL TEACHERS,Network 6
610231,NATIONAL TEACHERS,Network 6
610107,OTIS,Network 6
610107,OTIS,Network 6
610229,PRITZKER,Network 6
610229,PRITZKER,Network 6
610138,PULASKI,Network 6
610138,PULASKI,Network 6
610308,RUDOLPH,Network 6
610308,RUDOLPH,Network 6
610342,SABIN,Network 6
610342,SABIN,Network 6
610081,SHERIDAN,Network 6
610081,SHERIDAN,Network 6
610177,SKINNER,Network 6
610177,SKINNER,Network 6
610180,SMYTH,Network 6
610180,SMYTH,Network 6
610405,SUDER,Network 6
610405,SUDER,Network 6
610197,TALCOTT,Network 6
610197,TALCOTT,Network 6
610217,WARD J,Network 6
610217,WARD J,Network 6
609867,COOPER,Network 7
609867,COOPER,Network 7
609870,CORKERY,Network 7
609870,CORKERY,Network 7
610254,DVORAK,Network 7
610254,DVORAK,Network 7
609967,FINKL,Network 7
609967,FINKL,Network 7
609938,GARY,Network 7
609938,GARY,Network 7
609966,HAMMOND,Network 7
609966,HAMMOND,Network 7
609991,HERZL,Network 7
609991,HERZL,Network 7
610005,HUGHES C,Network 7
610005,HUGHES C,Network 7
609920,KANOON,Network 7
609920,KANOON,Network 7
610215,MADERO,Network 7
610215,MADERO,Network 7
610056,MASON,Network 7
610056,MASON,Network 7
610063,MCCORMICK,Network 7
610063,MCCORMICK,Network 7
610329,OROZCO,Network 7
610329,OROZCO,Network 7
609950,ORTIZ DE DOMINGUEZ,Network 7
609950,ORTIZ DE DOMINGUEZ,Network 7
610123,PENN,Network 7
610123,PENN,Network 7
609872,PEREZ,Network 7
609872,PEREZ,Network 7
610129,PICKARD,Network 7
610129,PICKARD,Network 7
610013,PILSEN,Network 7
610013,PILSEN,Network 7
610125,RUIZ,Network 7
610125,RUIZ,Network 7
610017,SAUCEDO,Network 7
610017,SAUCEDO,Network 7
609921,TELPOCHCALLI,Network 7
609921,TELPOCHCALLI,Network 7
610216,WALSH,Network 7
610216,WALSH,Network 7
610227,WHITNEY,Network 7
610227,WHITNEY,Network 7
610228,WHITTIER,Network 7
610228,WHITTIER,Network 7
609973,ZAPATA,Network 7
609973,ZAPATA,Network 7
610317,BRIGHTON PARK,Network 8
610317,BRIGHTON PARK,Network 8
609829,BURROUGHS,Network 8
609829,BURROUGHS,Network 8
610353,CALMECA,Network 8
610353,CALMECA,Network 8
609855,CHRISTOPHER,Network 8
609855,CHRISTOPHER,Network 8
610239,DALEY,Network 8
610239,DALEY,Network 8
609876,DAVIS N,Network 8
609876,DAVIS N,Network 8
609885,DEWEY,Network 8
609885,DEWEY,Network 8
609903,EDWARDS,Network 8
